Video,Views,
"Yaad Piya Ki Aane Lagi | Divya Khosla Kumar |Neha K,Tanishk B,Jaani, Faisu, Radhika&Vinay |Bhushan K","190,706,956",
Hungria Hip Hop - Amor e Fé (Official Music Video) #CheiroDoMato,"190,511,544",
Volta comigo bb - Zé Vaqueiro (Clipe Oficial),"190,492,602",
Gusttavo Lima - Ficha Limpa - Falando de Amor,"190,362,699",
Namo Namo - Lyrical | Kedarnath | Sushant Rajput | Sara Ali Khan | Amit Trivedi | Amitabh B,"189,449,282",
Bullettu Bandi | Mohana Bhogaraju | Vinay Shanmukh | SK Baji | Laxman | Bluerabbit Entertainment,"189,373,280",
"ITZY ""마.피.아. In the morning"" M/V @ITZY","188,483,228",
Paulo Londra - Adan y Eva (Official Video),"188,272,865",
AC/DC - Thunderstruck (Official Video),"187,906,985",
Coldplay - Hymn For The Weekend (Official Video),"187,706,261",
Adele - Rolling in the Deep (Official Music Video),"187,656,784",
"Seeti Maar | Radhe - Your Most Wanted Bhai | Salman Khan, Disha Patani|Kamaal K, Iulia V|DSP|Shabbir","187,250,183",
Mehendi Wale Haath |Guru Randhawa Sanjana Sanghi |Sayeed Q Sachet-Parampara Arvindr |Bhushan Kumar,"187,198,863",
Zum Zum Zum Zum Zum - Yasmin Verissimo - Música Educativa Dengue,"187,127,783",
The Weeknd - Starboy ft. Daft Punk (Official Video),"186,705,861",
Full Video: Papa Mere Papa | Main Aisa Hi Hoon | Sushmita Sen | Himesh Reshammiya,"186,562,956",
Ozuna x Camilo - Despeinada (Video Oficial),"186,500,815",
حسين الجسمي - بالبنط العريض (حصرياً) | 2020,"186,084,133",
"Kusu Kusu Song Ft Nora Fatehi | Satyameva Jayate 2 | John A, Divya K | Tanishk B, Zahrah Khan, Dev N","185,823,687",
Melendi - Destino o Casualidad ft. Ha*Ash,"185,123,347",
"KAROL G, Nicki Minaj - Tusa (Official Video)","183,367,225",
"B Praak: Dil Tod Ke Official Song | Rochak Kohli , Manoj M |Abhishek S, Kaashish V | Bhushan Kumar","183,320,422",
